id,first_name,last_name,position,team_abbr,team_name,quotation,avg_pts,popularity,is_injured,probability_of_playing,opponent_abbr,round_number,started_from_bench,label
3778,Trevion,Williams,Center,BKS,Bahcesehir College Istanbul,14,0,0,false,1,ROM,2,true,opponent
3839,Nick,Calathes,Guard,PBC,PAOK Thessaloniki,9,0,0,false,1,MAN,2,true,opponent
3871,Isiaha,Mike,Forward,BKS,Bahcesehir College Istanbul,12.6,0,0,false,1,ROM,2,true,opponent
3873,Matthew,Morgan,Guard,ARI,Aris Thessaloniki,13,0,0,false,1,MSB,1,true,opponent
3882,Neno,Dimitrijevic,Guard,ARI,Aris Thessaloniki,13,0,0,false,1,MSB,1,true,opponent
3895,Manuchar,Markoishvili,Head Coach,BOS,Bosna BH Telecom Sarajevo,5,0,0,false,1,LIE,2,true,opponent
3902,Louis,Olinde,Forward,URV,Umana Reyer Venice,10.2,0,0,false,1,SKY,1,true,opponent
3941,Melvin,Ajinca,Guard,MSB,Le Mans Sarthe Basket,8.5,0,0,false,1,ARI,1,true,opponent
3990,Kostas,Antetokounmpo,Center,ARI,Aris Thessaloniki,5,0,0,false,1,MSB,1,true,opponent
4044,Dovis,Bickauskis,Guard,LIE,Lietkabelis Panevezys,5.7,0,0,false,1,BOS,2,true,opponent
4045,Martynas,Varnas,Guard,RIG,Riga Zelli,11.6,0,0,false,1,DER,1,true,opponent
4053,Nenad,Canak,Head Coach,LIE,Lietkabelis Panevezys,6.5,0,0,false,1,BOS,2,true,opponent
4055,Vassilis,Toliopoulos,Guard,ARI,Aris Thessaloniki,9,0,0,false,1,MSB,1,true,opponent
4063,Vassilis,Spanoulis,Head Coach,ARI,Aris Thessaloniki,10,0,0,false,1,MSB,1,true,opponent
4068,Jaleen,Smith,Guard,JLM,Hapoel Midtown Jerusalem,12.5,0,0,false,1,ROS,1,true,opponent
4069,Tyler,Cavanaugh,Forward,BKS,Bahcesehir College Istanbul,12.5,0,0,false,1,ROM,2,true,opponent
4071,Axel,Bouteille,Forward,BUD,Buducnost VOLI Podgorica,11.6,0,0,false,1,WKS,2,true,opponent
4074,Mateusz,Ponitka,Forward,BKS,Bahcesehir College Istanbul,8.2,0,0,false,1,ROM,2,true,opponent
4078,Sasa,Djordjevic,Head Coach,BKS,Bahcesehir College Istanbul,9,0,0,false,1,ROM,2,true,opponent
4080,Furkan,Haltali,Center,BKS,Bahcesehir College Istanbul,4,0,0,false,1,ROM,2,true,opponent
4091,Yogi,Ferrell,Guard,BUD,Buducnost VOLI Podgorica,15,0,0,false,1,WKS,2,true,opponent
4095,Juwan,Morgan,Forward,BUD,Buducnost VOLI Podgorica,12.5,0,0,false,1,WKS,2,true,opponent
4099,Fletcher,Magee,Guard,BUD,Buducnost VOLI Podgorica,6,0,0,false,1,WKS,2,true,opponent
4100,Andrejs,Zakelj,Head Coach,BUD,Buducnost VOLI Podgorica,9.5,0,0,false,1,WKS,2,true,opponent
4101,Andrija,Slavkovic,Forward,BUD,Buducnost VOLI Podgorica,4,0,0,false,1,WKS,2,true,opponent
